property_id,date_added,postcode,rm_property_type,rm_property_subtype,property_type,price_pcm,sqft,price_pcm_per_sqft,bedrooms,bathrooms,annual_ground_rent,annual_service_charge,years_remaining_on_lease,furnish,let_type,display_address,url
88333530,2026-05-11,W5-2UX,flats_apartments,flat,F,799000,984,811.9918699186992,3,2,N/A,N/A,N/A,N/A,long,"Haven Green, Ealing",https://www.rightmove.co.uk/properties/88333530#/?channel=RES_BUY
87974088,2026-05-01,W5-2XA,flats_apartments,flat,F,2000000,1427,1401.541695865452,3,3,N/A,N/A,0,N/A,long,"Dickens Yard, Ealing, London, W5",https://www.rightmove.co.uk/properties/87974088#/?channel=RES_BUY
174270950,2026-04-10,W5-2ER,houses,house,N/A,1900000,N/A,N/A,8,3,N/A,N/A,N/A,N/A,long,"Eaton Rise, Ealing, W5",https://www.rightmove.co.uk/properties/174270950#/?channel=RES_BUY
87686472,2026-03-02,W5-2BF,flats_apartments,apartment,F,1750000,1660,1054.2168674698796,3,2,250,8000,925,N/A,long,"Longfield Avenue, Ealing, London",https://www.rightmove.co.uk/properties/87686472#/?channel=RES_BUY
167115167,2025-09-17,W5-2JU,flats_apartments,apartment,F,1699950,N/A,N/A,3,3,350,10769.9,234,N/A,long,"Longfield Avenue, Ealing, W5",https://www.rightmove.co.uk/properties/167115167#/?channel=RES_BUY
168159770,2025-10-13,W5-2JU,flats_apartments,apartment,F,1699950,1496,1136.3302139037432,3,3,250,8500,234,N/A,long,"Dashwood House, Ealing, Dickens Yard",https://www.rightmove.co.uk/properties/168159770#/?channel=RES_BUY
172443725,2026-02-20,W5-2BF,flats_apartments,penthouse,F,1600000,1650,969.6969696969697,3,2,N/A,11687.12,234,N/A,long,"The Penthouse, Belgravia House, Dickens Yard, W5",https://www.rightmove.co.uk/properties/172443725#/?channel=RES_BUY
87975792,2026-05-01,W5-2BF,flats_apartments,flat,F,1600000,1604,997.5062344139651,3,2,400,11810,0,N/A,long,"Dickens Yard, Ealing Broadway, London, W5",https://www.rightmove.co.uk/properties/87975792#/?channel=RES_BUY
88068672,2026-05-05,W5-5EF,flats_apartments,apartment,F,1550000,N/A,N/A,3,3,375,6891,992,N/A,long,"Filmworks Walk, London, W5",https://www.rightmove.co.uk/properties/88068672#/?channel=RES_BUY
171883406,2026-02-05,W5-3TA,flats_apartments,flat,F,1350000,N/A,N/A,3,2,N/A,N/A,N/A,N/A,long,"The Mall, Ealing",https://www.rightmove.co.uk/properties/171883406#/?channel=RES_BUY
